4;scans;78;DataLength;;;;;;;
header;23;lines;;;;;;;;
Date;21/02/2019;Time;17:14:06;;;;;;;
ID;HAL IV RC HALO 201 #11202;Version;3;;;;;;;
Scans;4;;;;;;;;;
Scan ID;Mode;Input;Scanned;Start;Stop;Increment;Dwell;Settle;RS;RelSEM
Scan 1;RGA;SEM;mass;4.00;4.00;0.01;2.000.000;500.000;0.140000;1.000.000
Scan 2;RGA;Faraday;mass;44.00;44.00;0.01;500.000;100.000;1.400.000;1.000.000
Scan 3;RGA;Faraday;mass;40.00;40.00;0.01;500.000;100.000;1.200.000;1.000.000
Scan 4;RGA;SEM;mass;36.00;36.00;0.01;1.000.000;5.000.000;0.004000;1.000.000
Environment;;;;;;;;;;
Global;RGA;;;;;;;;;
F1;1;( 1 = on, 0 = off );;;;;;;;
F2;0;( 1 = on, 0 = off );;;;;;;;
cage;5.0;V;;;;;;;;
delta-m;0;%;;;;;;;;
electron-energy;100.0;V;;;;;;;;
emission;1500;uA;;;;;;;;
focus;-90;V;;;;;;;;
mass;5.50;amu;;;;;;;;
mode-change-delay;1000;ms;;;;;;;;
multiplier;800;V;;;;;;;;
resolution;0;%;;;;;;;;
Data;4;;;;;;;;;
Time;ms;Helium;Carbon dioxide;Argon-40;Argon-36;;;;;
0:00:00;74;4,69E-03;2,94E-03;2,45E-02;2,07E-02;;;;;
0:00:28;28967;3,32E-03;1,82E-03;1,34E-02;1,51E-02;;;;;
0:01:14;74972;2,36E-03;1,61E-03;9,71E-03;1,25E-02;;;;;
0:02:01;121571;1,91E-03;1,50E-03;8,05E-03;1,03E-02;;;;;
